			CY 2020 Wage Data/ Old OMB Delineations			CY 2021 Wage Data/ Old OMB Delineations			CY 2021 Wage Data/ New OMB Delineations			
FIPS County Code	County Name	State	CBSA	Urban/Rural	Wage Index	CBSA	Urban/Rural	Wage Index	CBSA	CBSA Name	Urban/Rural	Wage Index
01001	AUTAUGA	AL	33860	URBAN	0.7567	33860	URBAN	0.7632	33860	"Montgomery, AL"	URBAN 	0.7632
01003	BALDWIN	AL	19300	URBAN	0.7357	19300	URBAN	0.7161	19300	"Daphne-Fairhope-Foley, AL"	URBAN 	0.7161
01005	BARBOUR	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01007	BIBB	AL	13820	URBAN	0.7832	13820	URBAN	0.8125	13820	"Birmingham-Hoover, AL"	URBAN 	0.8147
01009	BLOUNT	AL	13820	URBAN	0.7832	13820	URBAN	0.8125	13820	"Birmingham-Hoover, AL"	URBAN 	0.8147
01011	BULLOCK	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01013	BUTLER	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01015	CALHOUN	AL	11500	URBAN	0.7563	11500	URBAN	0.7190	11500	"Anniston-Oxford, AL"	URBAN 	0.7190
01017	CHAMBERS	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01019	CHEROKEE	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01021	CHILTON	AL	13820	URBAN	0.7832	13820	URBAN	0.8125	13820	"Birmingham-Hoover, AL"	URBAN 	0.8147
01023	CHOCTAW	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01025	CLARKE	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01027	CLAY	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01029	CLEBURNE	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01031	COFFEE	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01033	COLBERT	AL	22520	URBAN	0.6563	22520	URBAN	0.6413	22520	"Florence-Muscle Shoals, AL"	URBAN 	0.6413
01035	CONECUH	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01037	COOSA	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01039	COVINGTON	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01041	CRENSHAW	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01043	CULLMAN	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01045	DALE	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01047	DALLAS	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01049	DE KALB	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01051	ELMORE	AL	33860	URBAN	0.7567	33860	URBAN	0.7632	33860	"Montgomery, AL"	URBAN 	0.7632
01053	ESCAMBIA	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01055	ETOWAH	AL	23460	URBAN	0.6764	23460	URBAN	0.6782	23460	"Gadsden, AL"	URBAN 	0.6782
01057	FAYETTE	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01059	FRANKLIN	AL	01	RURAL	0.6642	01	RURAL	0.6664	01	ALABAMA	RURAL	0.6724
01061	GENEVA	AL	20020	URBAN	0.7002	20020	URBAN	0.6799	20020	"Dothan, AL"	URBAN 	0.6799
